,#atoms,Egap$[eV]$,N1,N1N2,Z2_N1,Z2_N2,Z2_prop,ytrans
0,18/ 18/ 36(total),2.319,3,3/ Czig,0,0,sym,0
1,24/ 18/ 42(total),0.062,4,3/ Czig,1,0,nonsym,0
2,24/ 18/ 42(total),2.534,4,3/ Czig,1,0,nonsym,1
3,30/ 18/ 48(total),1.053,5,3/ Czig,1,0,nonsym,0
4,30/ 18/ 48(total),1.170,5,3/ Czig,1,0,nonsym,1
5,30/ 18/ 48(total),1.053,5,3/ Czig,1,0,nonsym,2
6,36/ 18/ 54(total),0.024,6,3/ Czig,1,0,nonsym,0
7,36/ 18/ 54(total),1.584,6,3/ Czig,1,0,nonsym,1
8,36/ 18/ 54(total),0.127,6,3/ Czig,1,0,nonsym,2
9,36/ 18/ 54(total),2.061,6,3/ Czig,1,0,nonsym,3
10,24/ 24/ 48(total),2.139,4,4/ Czig,1,1,sym,0
11,30/ 24/ 54(total),0.892,5,4/ Czig,1,1,sym,0
12,30/ 24/ 54(total),0.892,5,4/ Czig,1,0,nonsym,1
13,36/ 24/ 60(total),1.629,6,4/ Czig,1,1,sym,0
14,36/ 24/ 60(total),1.352,6,4/ Czig,1,1,sym,1
15,36/ 24/ 60(total),2.175,6,4/ Czig,1,1,sym,2
16,30/ 30/ 60(total),2.735,5,5/ Czig,1,1,sym,0
17,36/ 30/ 66(total),0.749,6,5/ Czig,1,1,sym,0
18,36/ 30/ 66(total),0.568,6,5/ Czig,1,1,sym,1
19,36/ 36/ 72(total),1.383,6,6/ Czig,1,1,sym,0
