,#atoms,Egap$[eV]$,N1,N2,Z2_N1,Z2_N2,Z2_prop,ytrans
0,30/ 12/ 42(total),0.0,5,2,1,1,sym,0
1,30/ 12/ 42(total),0.0,5,2,1,0,nonsym,1
2,48/ 30/ 78(total),0.0,8,5,0,1,nonsym,0
3,48/ 30/ 78(total),0.0,8,5,0,1,nonsym,1
4,48/ 30/ 78(total),0.0,8,5,0,1,nonsym,2
5,48/ 30/ 78(total),0.0,8,5,0,1,nonsym,3
6,66/ 48/ 114(total),0.0,11,8,0,0,sym,0
7,66/ 48/ 114(total),0.0,11,8,0,0,sym,1
8,84/ 66/ 150(total),0.0,14,11,1,0,nonsym,0
9,84/ 66/ 150(total),0.0,14,11,1,0,nonsym,1
10,84/ 66/ 150(total),0.0,14,11,1,0,nonsym,2
11,84/ 66/ 150(total),0.0,14,11,1,0,nonsym,3
12,102/ 84/ 186(total),0.0,17,14,1,1,sym,0
13,102/ 84/ 186(total),0.0,17,14,1,0,nonsym,1
14,120/ 102/ 222(total),0.0,20,17,0,1,nonsym,0
15,120/ 102/ 222(total),0.0,20,17,0,1,nonsym,1
16,120/ 102/ 222(total),0.0,20,17,0,1,nonsym,2
17,120/ 102/ 222(total),0.0,20,17,0,1,nonsym,3
18,138/ 120/ 258(total),0.0,23,20,0,0,sym,0
19,138/ 120/ 258(total),0.0,23,20,0,0,sym,1
20,156/ 138/ 294(total),0.0,26,23,1,0,nonsym,0
21,156/ 138/ 294(total),0.0,26,23,1,0,nonsym,1
22,156/ 138/ 294(total),0.0,26,23,1,0,nonsym,2
23,156/ 138/ 294(total),0.0,26,23,1,0,nonsym,3
24,174/ 156/ 330(total),0.0,29,26,1,1,sym,0
25,174/ 156/ 330(total),0.0,29,26,1,0,nonsym,1
26,192/ 174/ 366(total),0.0,32,29,0,1,nonsym,0
27,192/ 174/ 366(total),0.0,32,29,0,1,nonsym,1
28,192/ 174/ 366(total),0.0,32,29,0,1,nonsym,2
29,192/ 174/ 366(total),0.0,32,29,0,1,nonsym,3
